Salario;lat;lon;Cidade
0.0;-199.102;-439.266;Belo Horizonte
0.0;-199.102;-439.266;Belo Horizonte
0.0;-229.129;-432.003;Rio de Janeiro
0.0;-199.102;-439.266;Belo Horizonte
0.0;-199.102;-439.266;Belo Horizonte
0.0;-201.446;-448.912;Divinopolis
0.0;-199.321;-440.539;Contagem
0.0;-199.102;-439.266;Belo Horizonte
0.0;-199.321;-440.539;Contagem
0.0;-199.102;-439.266;Belo Horizonte
0.0;-199.321;-440.539;Contagem
0.0;-199.102;-439.266;Belo Horizonte
0.0;-199.102;-439.266;Belo Horizonte
0.0;-199.321;-440.539;Contagem
0.0;-199.102;-439.266;Belo Horizonte
0.0;-199.102;-439.266;Belo Horizonte
0.0;-199.102;-439.266;Belo Horizonte
0.1;-199.102;-439.266;Belo Horizonte
0.5;-199.102;-439.266;Belo Horizonte
0.5;-199.102;-439.266;Belo Horizonte
0.8;-199.668;-442.008;Betim
0.10;-20.121;-403.074;Serra
0.32;-199.668;-442.008;Betim
0.53;-201.446;-448.912;Divinopolis
1.2;-199.321;-440.539;Contagem
1.41;-199.102;-439.266;Belo Horizonte
2.57;-199.102;-439.266;Belo Horizonte
2.57;-199.102;-439.266;Belo Horizonte
4.33;-216.921;-452.511;Tres Coracoes
4.34;-222.266;-459.389;Pouso Alegre
4.34;-195.902;-469.438;Araxa
4.34;-194.703;-425.476;Ipatinga
4.34;-217.595;-433.398;Juiz de Fora
4.49;-199.102;-439.266;Belo Horizonte
4.49;-201.446;-448.912;Divinopolis
4.53;-199.102;-439.266;Belo Horizonte
4.55;-215.556;-454.364;Varginha
4.66;-215.556;-454.364;Varginha
4.69;-215.296;-426.421;Leopoldina
4.69;-215.296;-426.421;Leopoldina
4.69;-215.296;-426.421;Leopoldina
4.70;-199.321;-440.539;Contagem
4.72;-201.912;-447.664;Carmo do Cajuru
4.77;-195.902;-469.438;Araxa
4.77;-201.446;-448.912;Divinopolis
4.77;-195.902;-469.438;Araxa
4.77;-199.102;-439.266;Belo Horizonte
4.77;-199.321;-440.539;Contagem
4.77;-195.902;-469.438;Araxa
4.77;-195.902;-469.438;Araxa
4.77;-215.556;-454.364;Varginha
4.77;-195.902;-469.438;Araxa
4.78;-199.102;-439.266;Belo Horizonte
4.86;-199.321;-440.539;Contagem
4.92;-199.102;-439.266;Belo Horizonte
4.94;-200.818;-445.801;Itaúna
4.99;-215.556;-454.364;Varginha
5.0;-195.902;-469.438;Araxa
5.10;-192.732;-444.044;Paraopeba
5.15;-195.902;-469.438;Araxa
5.15;-195.902;-469.438;Araxa
5.25;-201.446;-448.912;Divinopolis
5.25;-195.179;-426.276;Coronel Fabriciano
5.29;-213.924;-426.896;Cataguases
5.35;-195.179;-426.276;Coronel Fabriciano
5.52;-229.129;-432.003;Rio de Janeiro
5.72;-199.102;-439.266;Belo Horizonte
5.86;-182.048;-452.473;Tres Marias
5.97;-213.924;-426.896;Cataguases
6.0;-195.902;-469.438;Araxa
6.30;-199.668;-442.008;Betim
6.43;-194.703;-425.476;Ipatinga
6.56;-213.924;-426.896;Cataguases
6.63;-199.102;-439.266;Belo Horizonte
6.66;-194.703;-425.476;Ipatinga
6.66;-194.703;-425.476;Ipatinga
6.66;-194.703;-425.476;Ipatinga
6.66;-194.703;-425.476;Ipatinga
6.69;-194.703;-425.476;Ipatinga
6.75;-199.102;-439.266;Belo Horizonte
6.81;-199.758;-438.509;Nova Lima
6.90;-197.621;-440.844;Ribeirao das Neves
6.95;-199.102;-439.266;Belo Horizonte
6.97;-194.703;-425.476;Ipatinga
7.0;-199.102;-439.266;Belo Horizonte
7.0;-199.102;-439.266;Belo Horizonte
7.0;-199.102;-439.266;Belo Horizonte
7.27;-199.668;-442.008;Betim
7.33;-215.556;-454.364;Varginha
7.41;-199.668;-442.008;Betim
7.44;-195.811;-426.471;Timoteo
7.50;-199.102;-439.266;Belo Horizonte
7.58;-199.102;-439.266;Belo Horizonte
7.64;-196.491;-428.732;Antonio Dias
7.69;-196.971;-439.586;Sao Jose da Lapa
7.74;-194.703;-425.476;Ipatinga
7.76;-194.703;-425.476;Ipatinga
7.82;-194.703;-425.476;Ipatinga
8.0;-195.811;-426.471;Timoteo
8.0;-199.102;-439.266;Belo Horizonte
8.10;-199.668;-442.008;Betim
8.16;-194.569;-442.413;Sete Lagoas
8.19;-195.811;-426.471;Timoteo
8.19;-195.811;-426.471;Timoteo
8.20;-195.811;-426.471;Timoteo
8.29;-195.811;-426.471;Timoteo
8.30;-19.884;-438.263;Sabara
8.38;-199.102;-439.266;Belo Horizonte
8.53;-199.668;-442.008;Betim
8.59;-199.668;-442.008;Betim
8.68;-199.102;-439.266;Belo Horizonte
8.68;-199.102;-439.266;Belo Horizonte
8.72;-199.321;-440.539;Contagem
8.76;-195.811;-426.471;Timoteo
8.77;-199.102;-439.266;Belo Horizonte
8.78;-195.811;-426.471;Timoteo
8.80;-195.902;-469.438;Araxa
8.80;-199.166;-468.264;Tapira
8.80;-195.902;-469.438;Araxa
8.80;-195.902;-469.438;Araxa
8.83;-199.102;-439.266;Belo Horizonte
8.85;-195.811;-426.471;Timoteo
8.86;-213.924;-426.896;Cataguases
8.96;-199.102;-439.266;Belo Horizonte
8.97;-195.811;-426.471;Timoteo
9.7;-199.321;-440.539;Contagem
9.16;-201.912;-447.664;Carmo do Cajuru
9.22;-21.248;-450.009;Lavras
9.32;-199.102;-439.266;Belo Horizonte
9.37;-197.621;-440.844;Ribeirao das Neves
9.37;-194.569;-442.413;Sete Lagoas
9.37;-199.102;-439.266;Belo Horizonte
9.37;-199.102;-439.266;Belo Horizonte
9.54;-21.854;-452.896;Cambuquira
9.54;-193.434;-472.963;Perdizes
9.54;-215.556;-454.364;Varginha
9.54;-195.902;-469.438;Araxa
